"X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Hencky","eyy [1] - Hencky","exy [1] - Hencky","e1 [1] - Hencky","e2 [1] - Hencky","gamma [1] - Hencky","cxx [1/mm] - 31 filter","cyy [1/mm] - 31 filter","cxy [1/mm] - 31 filter","c1 [1/mm] - 31 filter","c2 [1/mm] - 31 filter","gamma_c [1] - 31 filter","phi [rad] - 15 filter","sigma [pixel]","q_ref [pixel]","r_ref [pixel]"
2,2.5,11.3464,0.207906,0.0814678,11.1781,0.0887652,0.0291501,-0.000498412,0.0887693,0.029146,-0.00835967,-0.0112144,-0.00268581,0.000104306,-0.00268453,-0.0112157,1.55857,-0.000112752,0.00457353,236.8,-13.79
2.5,2.5,11.321,0.250139,0.0812139,11.1534,0.088812,0.0290984,-0.000499959,0.0888162,0.0290942,-0.00837174,-0.0111547,-0.00267767,9.13782e-05,-0.00267667,-0.0111557,1.56002,-0.000185068,0.00470802,236.785,-13.9021
3,2.5,11.2903,0.29193,0.080832,11.1226,0.088844,0.0290354,-0.000505759,0.0888483,0.0290311,-0.00845536,-0.0110893,-0.00266423,7.11261e-05,-0.0026636,-0.01109,1.56236,-0.000256265,0.00473035,236.769,-14.0133
3.5,2.5,11.2544,0.333411,0.0802621,11.0864,0.0888759,0.0289602,-0.000514417,0.0888803,0.0289558,-0.0085847,-0.0110298,-0.0026478,4.33481e-05,-0.00264752,-0.0110301,1.56563,-0.000330377,0.00489399,236.755,-14.1266
4,2.5,11.2122,0.374478,0.07963,11.0459,0.0889126,0.0288745,-0.000520744,0.0889171,0.02887,-0.00867257,-0.0109883,-0.00263162,1.04849e-05,-0.00263154,-0.0109884,0.0823205,-0.000405215,0.00513715,236.757,-14.2426
4.5,2.5,11.164,0.415143,0.0790465,11.0013,0.0889554,0.0287799,-0.000518454,0.0889598,0.0287754,-0.00861482,-0.0109742,-0.00261904,-2.28439e-05,-0.00261893,-0.0109743,-0.99042,-0.000479563,0.00527578,236.773,-14.361
5,2.5,11.1111,0.455295,0.0783211,10.9511,0.0889946,0.0286744,-0.000507551,0.0889988,0.0286701,-0.00841323,-0.0109895,-0.00261281,-5.34207e-05,-0.00261245,-0.0109898,-1.56442,-0.00055597,0.00526907,236.789,-14.4766
5.5,2.5,11.054,0.494792,0.0774984,10.895,0.0890211,0.0285575,-0.000488782,0.0890251,0.0285535,-0.00808301,-0.0110309,-0.00261303,-7.22939e-05,-0.0026124,-0.0110315,-1.56221,-0.000645615,0.0050793,236.797,-14.5891
6,2.5,10.9916,0.533724,0.0768713,10.833,0.0890324,0.0284277,-0.000462213,0.089036,0.0284242,-0.007626,-0.0110869,-0.00262042,-7.87685e-05,-0.00261968,-0.0110876,-1.56149,-0.000744947,0.00443254,236.806,-14.6962
6.5,2.5,10.9225,0.57212,0.0763199,10.7651,0.0890482,0.0282843,-0.000425717,0.0890512,0.0282813,-0.00700567,-0.0111436,-0.00263323,-7.37066e-05,-0.00263258,-0.0111442,-1.56213,-0.000848905,0.00380681,236.824,-14.8039
7,2.5,10.8471,0.609798,0.0756008,10.6912,0.0890822,0.0281285,-0.000380505,0.0890846,0.0281261,-0.00624236,-0.0111892,-0.00264889,-6.07043e-05,-0.00264844,-0.0111896,-1.56368,-0.000956829,0.00385362,236.847,-14.9176
7.5,2.5,10.7661,0.646405,0.0748226,10.6118,0.0891229,0.0279604,-0.000329763,0.0891247,0.0279586,-0.00539158,-0.0112172,-0.00266477,-4.47304e-05,-0.00266452,-0.0112174,-1.56556,-0.00107138,0.00414138,236.874,-15.0292
8,2.5,10.6798,0.681811,0.0741238,10.5282,0.089155,0.0277783,-0.000275405,0.0891563,0.027777,-0.0044872,-0.0112273,-0.00267895,-3.06622e-05,-0.00267883,-0.0112274,-1.56721,-0.00118969,0.00414764,236.911,-15.137
8.5,2.5,10.5871,0.716309,0.073425,10.4401,0.0891888,0.027581,-0.000219318,0.0891896,0.0275802,-0.00356002,-0.0112239,-0.00269046,-2.2235e-05,-0.0026904,-0.011224,-1.56819,-0.00130358,0.00410635,236.963,-15.245
9,2.5,10.4878,0.750272,0.0725999,10.3459,0.0892365,0.0273675,-0.000168159,0.089237,0.027367,-0.00271799,-0.0112136,-0.00269926,-2.15014e-05,-0.0026992,-0.0112137,-1.56827,-0.00141154,0.0040477,237.023,-15.3612
9.5,2.5,10.3842,0.783419,0.0717614,10.246,0.0892883,0.0271374,-0.000127586,0.0892886,0.0271371,-0.00205263,-0.0112023,-0.00270588,-2.88277e-05,-0.00270577,-0.0112024,-1.5674,-0.00151856,0.00399048,237.077,-15.477
10,2.5,10.274,0.815415,0.0710209,10.1386,0.0893335,0.0268913,-9.3719e-05,0.0893337,0.0268911,-0.00150055,-0.0111938,-0.00271108,-4.30694e-05,-0.00271085,-0.011194,-1.56572,-0.00162328,0.00394682,237.131,-15.5949
10.5,2.5,10.1572,0.845862,0.0700808,10.0248,0.0893745,0.0266319,-5.85642e-05,0.0893746,0.0266318,-0.000933036,-0.0111899,-0.00271542,-6.17483e-05,-0.00271496,-0.0111904,-1.56351,-0.00172426,0.00394299,237.19,-15.7154
11,2.5,10.0348,0.875127,0.0690908,9.90563,0.0894172,0.0263583,-2.19367e-05,0.0894172,0.0263583,-0.000347453,-0.0111904,-0.00271924,-8.14267e-05,-0.00271845,-0.0111912,-1.56118,-0.00182319,0.00402667,237.254,-15.8345
11.5,2.5,9.90613,0.902927,0.0681303,9.78095,0.0894449,0.0260671,1.38084e-05,0.089445,0.0260671,0.000218358,-0.011194,-0.00272276,-9.83229e-05,-0.00272162,-0.0111952,-1.55919,-0.00192048,0.0041051,237.326,-15.9549
12,2.5,9.77148,0.929398,0.0670532,9.65159,0.0894451,0.0257587,4.86425e-05,0.0894452,0.0257586,0.000764305,-0.0111998,-0.00272609,-0.000109089,-0.00272469,-0.0112012,-1.55792,-0.0020184,0.00426552,237.41,-16.0715
12.5,2.5,9.6304,0.95443,0.0660271,9.51714,0.0894224,0.0254364,8.69462e-05,0.0894226,0.0254362,0.00135937,-0.011207,-0.00272953,-0.000111698,-0.00272806,-0.0112084,-1.55762,-0.00211716,0.0043909,237.506,-16.1843
13,2.5,9.48215,0.977775,0.0651603,9.37586,0.0893899,0.0250998,0.000133905,0.0893902,0.0250995,0.00208303,-0.0112158,-0.00273354,-0.000105551,-0.00273223,-0.0112171,-1.55835,-0.00221622,0.00443255,237.608,-16.3002
13.5,2.5,9.32921,0.999677,0.0641292,9.22925,0.0893664,0.0247488,0.000188943,0.0893671,0.0247482,0.0029238,-0.0112264,-0.00273851,-9.25603e-05,-0.0027375,-0.0112275,-1.55989,-0.00231517,0.0045261,237.71,-16.4185
14,2.5,9.16819,1.01973,0.063125,9.07375,0.0893469,0.0243813,0.000243149,0.0893479,0.0243803,0.00374213,-0.0112395,-0.00274478,-7.53556e-05,-0.0027441,-0.0112402,-1.56192,-0.0024166,0.00474228,237.813,-16.5367
14.5,2.5,9.00105,1.03809,0.0619619,8.91174,0.0893386,0.0239956,0.000290838,0.08934,0.0239942,0.00444984,-0.0112551,-0.00275238,-5.68933e-05,-0.00275199,-0.0112555,-1.5641,-0.00251555,0.00468198,237.917,-16.6556
15,2.5,8.82837,1.054,0.0606925,8.74363,0.0893567,0.0235897,0.000334744,0.0893586,0.0235879,0.0050882,-0.0112733,-0.00276105,-3.96572e-05,-0.00276085,-0.0112735,-1.56613,-0.00260368,0.00435474,238.022,-16.7751
15.5,2.5,8.65009,1.06722,0.0595531,8.56994,0.0893998,0.0231639,0.000371323,0.089402,0.0231617,0.00560396,-0.011294,-0.00277029,-2.53112e-05,-0.0027702,-0.011294,-1.56782,-0.00268457,0.00416701,238.132,-16.8943
16,2.5,8.46347,1.07892,0.0582452,8.39046,0.0894608,0.0227204,0.00039623,0.0894633,0.0227179,0.00593425,-0.0113163,-0.0027794,-1.43932e-05,-0.00277936,-0.0113163,-1.56911,-0.00276233,0.0041875,238.261,-17.0161
16.5,2.5,8.26974,1.08885,0.056875,8.2052,0.0895613,0.0222592,0.000411149,0.0895639,0.0222566,0.00611349,-0.0113397,-0.00278753,-5.69981e-06,-0.00278753,-0.0113397,-1.0134,-0.00282509,0.00441235,238.403,-17.1385
17,2.5,8.06818,1.09653,0.0556406,8.01167,0.0897023,0.0217744,0.000424638,0.0897051,0.0217716,0.00625575,-0.0113624,-0.00279486,9.44172e-07,-0.00279486,-0.0113625,0.499131,-0.00288469,0.0046345,238.546,-17.2574
17.5,2.5,7.86008,1.10209,0.0543218,7.81014,0.0898616,0.0212644,0.000430001,0.0898645,0.0212615,0.00627269,-0.0113832,-0.00280089,7.43941e-06,-0.00280088,-0.0113832,1.56993,-0.00293605,0.0047598,238.686,-17.378
18,2.5,7.64527,1.1054,0.0529097,7.60155,0.0900293,0.0207302,0.000425185,0.0900321,0.0207274,0.00613924,-0.0113995,-0.00280551,1.47525e-05,-0.00280548,-0.0113996,1.56908,-0.00298024,0.004678,238.828,-17.4978
18.5,2.5,7.42548,1.10531,0.0515448,7.3878,0.0902345,0.0201745,0.000414407,0.0902371,0.0201719,0.0059179,-0.0114092,-0.00280862,2.29947e-05,-0.00280856,-0.0114093,1.56812,-0.00302277,0.00468617,238.975,-17.6186
19,2.5,7.19585,1.1018,0.0503238,7.16637,0.0904707,0.0195981,0.000404081,0.0904732,0.0195956,0.00570296,-0.0114113,-0.00281003,3.16928e-05,-0.00280991,-0.0114114,1.56711,-0.00306329,0.00491218,239.139,-17.7459
19.5,2.5,6.95975,1.09592,0.0490529,6.93905,0.0907081,0.0189964,0.000401282,0.0907105,0.018994,0.00559573,-0.0114066,-0.00280929,4.03644e-05,-0.0028091,-0.0114067,1.5661,-0.00310419,0.00561515,239.312,-17.8727
20,2.5,6.71134,1.08674,0.0475002,6.70087,0.0909278,0.0183706,0.000404365,0.0909303,0.0183682,0.00557148,-0.0114004,-0.00280637,4.9323e-05,-0.00280608,-0.0114007,1.56506,-0.00315295,0.00570956,239.498,-17.9955
20.5,2.5,6.45476,1.07494,0.0459039,6.45421,0.0911294,0.0177206,0.000412574,0.0911319,0.0177181,0.00561685,-0.0113992,-0.00280153,5.94825e-05,-0.00280111,-0.0113996,1.56388,-0.00320614,0.00539418,239.688,-18.117
21,2.5,6.19321,1.06056,0.044209,6.20095,0.0913311,0.0170437,0.000432695,0.0913338,0.017041,0.00581912,-0.0114084,-0.00279529,7.16461e-05,-0.00279469,-0.011409,1.56248,-0.00326325,0.00535688,239.873,-18.24
21.5,2.5,5.92554,1.04252,0.0428435,5.9411,0.0915348,0.0163413,0.000467533,0.0915378,0.0163383,0.00622132,-0.0114304,-0.00278958,8.57463e-05,-0.00278871,-0.0114313,1.56087,-0.00332274,0.00540481,240.062,-18.3681
22,2.5,5.64888,1.02074,0.040812,5.67386,0.091752,0.0156091,0.000507826,0.0917555,0.0156056,0.00667117,-0.0114639,-0.00278338,0.000101134,-0.00278219,-0.0114651,1.55915,-0.00339624,0.00545042,240.265,-18.5024
22.5,2.5,5.3624,0.995359,0.0388997,5.397,0.0919791,0.0148494,0.000559159,0.0919833,0.0148452,0.00724969,-0.0115036,-0.00277891,0.000117455,-0.00277733,-0.0115052,1.55734,-0.00347887,0.00547202,240.476,-18.635
23,2.5,5.0672,0.966225,0.0374726,5.11165,0.092205,0.0140588,0.000624431,0.0922101,0.0140538,0.00798889,-0.0115454,-0.00277748,0.000134942,-0.0027754,-0.0115475,1.55541,-0.00357275,0.00562847,240.693,-18.7624
23.5,2.5,4.7608,0.93187,0.0363049,4.81817,0.0924281,0.013235,0.000700888,0.0924344,0.0132286,0.00884529,-0.0115839,-0.00278022,0.000154904,-0.00277748,-0.0115867,1.55321,-0.00367948,0.00616988,240.936,-18.8971
24,2.5,4.44583,0.893317,0.0348396,4.51667,0.0926984,0.0123789,0.00079165,0.0927064,0.012371,0.00984741,-0.0116223,-0.00278708,0.000178643,-0.00278344,-0.0116259,1.5506,-0.00380142,0.00660993,241.188,-19.0317
24.5,2.5,4.12113,0.850496,0.0332747,4.20402,0.0930495,0.0114958,0.000895728,0.0930594,0.0114859,0.0109826,-0.0116647,-0.0028007,0.000204123,-0.00279599,-0.0116694,1.54779,-0.00393528,0.00696479,241.438,-19.1606
25,2.5,3.78851,0.803693,0.0315298,3.88191,0.0934618,0.01058,0.00100809,0.0934741,0.0105677,0.0121602,-0.0117182,-0.00281544,0.000234207,-0.00280926,-0.0117244,1.54452,-0.00408872,0.00744244,241.685,-19.2926
25.5,2.5,3.44517,0.751279,0.0294467,3.5504,0.0939134,0.00963079,0.00112601,0.0939285,0.00961568,0.0133558,-0.0117865,-0.00283269,0.000263073,-0.00282494,-0.0117943,1.54146,-0.0042543,0.00818429,241.947,-19.4385
26,2.5,3.09252,0.693449,0.0273974,3.20979,0.0946398,0.00864533,0.0012455,0.0946579,0.00862719,0.0144729,-0.0118747,-0.00285139,0.000286187,-0.00284229,-0.0118838,1.53914,-0.00444052,0.00864083,242.218,-19.5849
26.5,2.5,2.7265,0.629277,0.0254507,2.85588,0.0956045,0.00763389,0.00136369,0.0956258,0.00761262,0.0154853,-0.0119825,-0.00287056,0.00030226,-0.00286051,-0.0119925,1.5377,-0.0046431,0.00864182,242.498,-19.7238
27,2.5,2.35087,0.5607,0.0238108,2.49232,0.0966418,0.00660195,0.00148441,0.0966664,0.00657743,0.0164817,-0.0121115,-0.00289404,0.000310697,-0.00288355,-0.012122,1.53715,-0.00485096,0.0084612,242.784,-19.8539
27.5,2.5,1.96172,0.485855,0.0217493,2.11721,0.0979338,0.0055412,0.00160753,0.0979618,0.00551316,0.0173915,-0.0122628,-0.00291335,0.000314908,-0.00290272,-0.0122734,1.53718,-0.0050733,0.0086189,243.089,-19.9979
28,2.5,1.55974,0.404661,0.0193897,1.72987,0.0996193,0.00444985,0.0017274,0.0996507,0.00441838,0.0181353,-0.0124463,-0.00293353,0.000316733,-0.00292295,-0.0124569,1.53758,-0.0053109,0.00862433,243.407,-20.1395
28.5,2.5,1.14622,0.315936,0.0172457,1.33018,0.101817,0.00333331,0.0018422,0.101852,0.0032987,0.0186791,-0.0126693,-0.00295569,0.000318822,-0.00294516,-0.0126799,1.53807,-0.00556521,0.00917845,243.729,-20.2908
29,2.5,0.710216,0.217543,0.0140805,0.916694,0.104666,0.00219946,0.00193299,0.104702,0.00216283,0.0188628,-0.0129391,-0.00298126,0.00031603,-0.0029711,-0.0129493,1.53912,-0.00585265,0.0131142,244.111,-20.4471
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
-10,3,10.2517,-0.731249,0.0920424,10.124,0.089109,0.0261266,-0.000583836,0.0891144,0.0261212,-0.00926918,-0.0111386,-0.00263828,3.93266e-05,-0.00263799,-0.0111389,1.56617,0.00228529,0.00549365,238.548,-11.0372
-9.5,3,10.3609,-0.699517,0.092916,10.2299,0.0890643,0.0264245,-0.000593463,0.08907,0.0264189,-0.00947344,-0.0111363,-0.00262609,-1.99637e-05,-0.00262597,-0.0111364,-0.89388,0.00219904,0.0053708,238.418,-11.16
-9,3,10.4668,-0.667015,0.093734,10.3318,0.0890097,0.0267085,-0.000608235,0.0890156,0.0267026,-0.00976191,-0.0111524,-0.00261064,-6.69117e-05,-0.00261007,-0.011153,-1.56297,0.00211302,0.00511632,238.289,-11.286
-8.5,3,10.5671,-0.634051,0.0942909,10.4275,0.0889509,0.0269781,-0.000619611,0.088957,0.0269719,-0.009997,-0.0111795,-0.00259398,-0.000101494,-0.00259276,-0.0111807,-1.55898,0.00202956,0.00482475,238.16,-11.4058
-8,3,10.6616,-0.600329,0.0945657,10.5184,0.0888914,0.0272287,-0.000628268,0.0888978,0.0272223,-0.0101875,-0.0112079,-0.00257811,-0.000127068,-0.00257623,-0.0112098,-1.55608,0.00194989,0.00482399,238.042,-11.5131
-7.5,3,10.7488,-0.565124,0.0952089,10.6036,0.0888282,0.0274552,-0.000635548,0.0888348,0.0274486,-0.0103541,-0.0112286,-0.00256453,-0.000148642,-0.00256197,-0.0112311,-1.55365,0.00186776,0.00498671,237.936,-11.6185
-7,3,10.8301,-0.528196,0.0955239,10.682,0.0887709,0.0276602,-0.000638777,0.0887776,0.0276536,-0.0104513,-0.0112347,-0.00255382,-0.000170456,-0.00255047,-0.0112381,-1.55117,0.00178058,0.00507261,237.829,-11.7329
-6.5,3,10.9058,-0.490425,0.0959147,10.755,0.0887202,0.027847,-0.000637572,0.0887269,0.0278404,-0.0104722,-0.0112221,-0.00254617,-0.000193796,-0.00254184,-0.0112264,-1.54847,0.00168857,0.00487374,237.728,-11.8528
-6,3,10.9751,-0.452373,0.0968562,10.8223,0.0886643,0.0280177,-0.000633865,0.0886709,0.028011,-0.0104502,-0.011189,-0.00254145,-0.000215703,-0.00253607,-0.0111944,-1.54587,0.00159235,0.00480249,237.634,-11.973
-5.5,3,11.0398,-0.414033,0.0976027,10.8854,0.0885989,0.0281727,-0.000629183,0.0886054,0.0281662,-0.0104109,-0.0111372,-0.00253959,-0.000229776,-0.00253345,-0.0111433,-1.5441,0.00149096,0.00489666,237.546,-12.0855
-5,3,11.0988,-0.37452,0.0978629,10.9423,0.0885424,0.0283183,-0.000621619,0.0885488,0.0283118,-0.0103202,-0.0110722,-0.00254076,-0.000228424,-0.00253464,-0.0110783,-1.54405,0.00138396,0.00491462,237.459,-12.1972
-4.5,3,11.1518,-0.334212,0.0979334,10.9932,0.0885035,0.0284561,-0.000612268,0.0885097,0.0284499,-0.010195,-0.0110048,-0.00254518,-0.000205882,-0.00254015,-0.0110099,-1.54648,0.00127157,0.00480978,237.377,-12.3105
-4,3,11.1988,-0.293605,0.0982768,11.0384,0.0884668,0.0285879,-0.00060707,0.088473,0.0285817,-0.0101369,-0.0109485,-0.00255289,-0.000160951,-0.00254975,-0.0109516,-1.55164,0.0011534,0.00487836,237.3,-12.4274
-3.5,3,11.2408,-0.253026,0.0985942,11.0783,0.0884264,0.0287135,-0.000604038,0.0884325,0.0287074,-0.0101143,-0.0109167,-0.00256371,-9.79644e-05,-0.00256247,-0.0109179,-1.55907,0.00103537,0.00497886,237.224,-12.5429
-3,3,11.2774,-0.212415,0.0990053,11.112,0.0883888,0.0288311,-0.000600405,0.0883949,0.0288251,-0.0100797,-0.010918,-0.00257713,-2.60984e-05,-0.00257695,-0.0109182,-0.893354,0.000918264,0.00508963,237.148,-12.6599
-2.5,3,11.3089,-0.17164,0.099397,11.141,0.0883661,0.0289385,-0.000598372,0.0883721,0.0289325,-0.0100676,-0.0109533,-0.00259245,4.33109e-05,-0.00259215,-0.0109536,1.56562,0.00079726,0.00538906,237.078,-12.7776
-2,3,11.3367,-0.130374,0.0994294,11.1677,0.0883705,0.029035,-0.000593441,0.0883764,0.029029,-0.0100001,-0.0110149,-0.00260897,0.000100357,-0.00260773,-0.0110162,1.55887,0.000674275,0.00536776,237.019,-12.8919
-1.5,3,11.3575,-0.0884776,0.0992886,11.1875,0.0883998,0.0291178,-0.000580609,0.0884054,0.0291121,-0.00979275,-0.0110899,-0.00262599,0.000139273,-0.00262368,-0.0110922,1.55435,0.000555371,0.00486305,236.965,-13.005
-1,3,11.3703,-0.046109,0.0989388,11.2,0.0884412,0.0291853,-0.000562934,0.0884466,0.02918,-0.00949888,-0.011164,-0.00264292,0.000159285,-0.00263994,-0.011167,1.55211,0.000439533,0.00468496,236.919,-13.118
-0.5,3,11.3781,-0.00360422,0.0985531,11.2078,0.088486,0.0292382,-0.000543899,0.0884909,0.0292332,-0.00917903,-0.0112257,-0.00265903,0.000163516,-0.00265591,-0.0112289,1.55172,0.000325438,0.00463683,236.877,-13.2293
-3.72529e-09,3,11.3818,0.0390338,0.0983683,11.2114,0.0885279,0.0292724,-0.000522903,0.0885325,0.0292678,-0.00882364,-0.0112678,-0.0026732,0.000156857,-0.00267033,-0.0112706,1.55255,0.000217717,0.00449618,236.84,-13.3382
0.5,3,11.3801,0.0816383,0.0984056,11.2097,0.0885623,0.0292844,-0.000502228,0.0885665,0.0292802,-0.00847165,-0.0112869,-0.00268374,0.000143771,-0.00268133,-0.0112893,1.55409,0.00011624,0.00454101,236.806,-13.4487
1,3,11.3723,0.123651,0.0983854,11.2023,0.0886001,0.0292762,-0.000487048,0.0886041,0.0292722,-0.00820927,-0.0112823,-0.0026886,0.000126958,-0.00268671,-0.0112842,1.55603,1.51722e-05,0.00458659,236.779,-13.5641
1.5,3,11.3587,0.165651,0.0981848,11.1895,0.0886488,0.029252,-0.000478198,0.0886526,0.0292482,-0.00805024,-0.011255,-0.00268576,0.000107184,-0.00268441,-0.0112563,1.55829,-8.60164e-05,0.00451555,236.757,-13.6809
2,3,11.3387,0.207864,0.0979556,11.1705,0.0887001,0.0292154,-0.000471363,0.0887039,0.0292117,-0.00792346,-0.0112075,-0.00267406,8.41083e-05,-0.00267321,-0.0112084,1.56095,-0.000182139,0.0045646,236.739,-13.7966
2.5,3,11.3135,0.249915,0.0976689,11.1456,0.0887399,0.0291671,-0.000466463,0.0887436,0.0291634,-0.00782946,-0.0111452,-0.00265381,5.74953e-05,-0.00265338,-0.0111456,1.56403,-0.000271887,0.00479711,236.723,-13.9117
3,3,11.2837,0.291158,0.0970378,11.1153,0.0887689,0.0291072,-0.000465958,0.0887725,0.0291036,-0.0078093,-0.0110771,-0.00262713,2.81533e-05,-0.00262699,-0.0110772,1.56747,-0.000361008,0.00469146,236.705,-14.027
3.5,3,11.2475,0.331945,0.0963138,11.0793,0.0888025,0.0290351,-0.000468196,0.0888062,0.0290314,-0.00783293,-0.0110158,-0.00259797,-1.52765e-06,-0.00259792,-0.0110159,0.116892,-0.000452959,0.00469208,236.694,-14.1442
4,3,11.2031,0.372406,0.0956975,11.0385,0.0888455,0.0289528,-0.000467001,0.0888491,0.0289491,-0.00779664,-0.0109746,-0.0025712,-2.80937e-05,-0.00257107,-0.0109747,-1.29754,-0.000545022,0.00532874,236.707,-14.2644
4.5,3,11.1524,0.412465,0.0950704,10.9941,0.0888984,0.0288612,-0.000457431,0.0889019,0.0288578,-0.00761847,-0.0109626,-0.00255176,-4.95653e-05,-0.00255146,-0.0109629,-1.5649,-0.000635372,0.00605517,236.739,-14.3861
5,3,11.0991,0.452345,0.0942052,10.9449,0.0889545,0.0287592,-0.000438929,0.0889577,0.028756,-0.00729119,-0.010983,-0.00254147,-6.08133e-05,-0.00254103,-0.0109835,-1.56359,-0.000732162,0.00641787,236.762,-14.5038
5.5,3,11.044,0.492494,0.0933191,10.8894,0.0889966,0.0286448,-0.000415877,0.0889995,0.0286419,-0.00689043,-0.01103,-0.00254197,-6.18695e-05,-0.00254152,-0.0110305,-1.56351,-0.000838254,0.00594709,236.763,-14.6167
6,3,10.9841,0.532588,0.092737,10.8277,0.0890225,0.0285176,-0.000386852,0.089025,0.0285152,-0.00639345,-0.0110911,-0.00255196,-5.4113e-05,-0.00255161,-0.0110914,-1.56446,-0.000952699,0.00465715,236.759,-14.7225
6.5,3,10.9162,0.571493,0.0921426,10.7602,0.0890509,0.0283772,-0.000348443,0.0890529,0.0283752,-0.00574286,-0.0111512,-0.00256837,-4.07541e-05,-0.00256817,-0.0111514,-1.56604,-0.00107102,0.00385493,236.772,-14.8291
7,3,10.8405,0.60897,0.0912574,10.686,0.0890969,0.0282241,-0.000300765,0.0890984,0.0282226,-0.00494109,-0.0111981,-0.00258742,-2.58464e-05,-0.00258733,-0.0111982,-1.56779,-0.00119328,0.00418597,236.794,-14.9438
7.5,3,10.7589,0.645311,0.0904111,10.6055,0.0891471,0.0280591,-0.000247792,0.0891481,0.0280581,-0.00405661,-0.0112253,-0.00260563,-1.3169e-05,-0.0026056,-0.0112253,-1.56927,-0.00132277,0.00456724,236.819,-15.061
8,3,10.6717,0.680762,0.0897028,10.5207,0.0891807,0.0278802,-0.000192076,0.0891813,0.0278796,-0.00313368,-0.0112329,-0.00262066,-5.36204e-06,-0.00262065,-0.0112329,-1.57017,-0.00145668,0.0044359,236.854,-15.1768
8.5,3,10.5782,0.715657,0.0890282,10.432,0.0892068,0.0276859,-0.000135004,0.0892071,0.0276855,-0.00219476,-0.011226,-0.00263156,-3.75732e-06,-0.00263156,-0.011226,-1.57036,-0.00158693,0.00426388,236.908,-15.2882
9,3,10.4788,0.749723,0.0882825,10.3378,0.0892436,0.0274737,-8.23937e-05,0.0892437,0.0274736,-0.00133412,-0.011212,-0.00263871,-8.64054e-06,-0.0026387,-0.011212,-1.56979,-0.00171237,0.00418813,236.968,-15.4015
9.5,3,10.3755,0.782658,0.0874086,10.2382,0.0892871,0.0272436,-3.85889e-05,0.0892871,0.0272436,-0.000622033,-0.0111973,-0.00264322,-1.96072e-05,-0.00264317,-0.0111973,-1.5685,-0.00183801,0.00420461,237.023,-15.5171
10,3,10.2662,0.81442,0.0863511,10.1317,0.0893288,0.0269974,1.61309e-06,0.0893288,0.0269974,2.59027e-05,-0.0111864,-0.0026464,-3.55697e-05,-0.00264624,-0.0111865,-1.56663,-0.00196243,0.00404987,237.076,-15.6342
10.5,3,10.1487,0.845028,0.0850684,10.018,0.0893688,0.0267382,4.44735e-05,0.0893689,0.0267381,0.000710158,-0.0111814,-0.00264942,-5.45773e-05,-0.00264907,-0.0111817,-1.5644,-0.00208341,0.00395788,237.14,-15.7543
11,3,10.0256,0.874502,0.0838067,9.89905,0.0894091,0.0264645,8.71249e-05,0.0894093,0.0264644,0.00138432,-0.0111825,-0.00265308,-7.38478e-05,-0.00265243,-0.0111831,-1.56214,-0.002203,0.00416456,237.209,-15.8736
11.5,3,9.89822,0.902179,0.0826845,9.77509,0.089435,0.0261722,0.000127185,0.0894353,0.026172,0.00201069,-0.0111885,-0.0026578,-9.005e-05,-0.00265685,-0.0111895,-1.56024,-0.00232078,0.00432576,237.278,-15.9975
12,3,9.76573,0.928151,0.0814372,9.64626,0.0894387,0.0258623,0.000168014,0.0894392,0.0258619,0.00264304,-0.011198,-0.00266363,-9.99286e-05,-0.00266246,-0.0111992,-1.55909,-0.00243914,0.00432541,237.352,-16.1168
12.5,3,9.62368,0.95308,0.0802194,9.51041,0.0894248,0.0255387,0.000215516,0.0894255,0.025538,0.00337377,-0.0112095,-0.00267054,-0.000101287,-0.00266933,-0.0112107,-1.55894,-0.00255935,0.00431843,237.446,-16.2326
13,3,9.47361,0.976583,0.0791756,9.36818,0.0894015,0.0252009,0.000273465,0.0894027,0.0251997,0.0042595,-0.0112222,-0.00267848,-9.3551e-05,-0.00267745,-0.0112233,-1.55985,-0.00268134,0.00437156,237.553,-16.3535
13.5,3,9.32079,0.998683,0.0779267,9.22204,0.0893825,0.0248478,0.000338939,0.0893843,0.024846,0.00525159,-0.0112357,-0.00268724,-7.87054e-05,-0.00268651,-0.0112365,-1.56159,-0.00280385,0.00430517,237.657,-16.478
14,3,9.16129,1.01873,0.0766373,9.06811,0.0893585,0.0244772,0.000402041,0.0893611,0.0244747,0.00619572,-0.0112501,-0.00269667,-5.95924e-05,-0.00269624,-0.0112505,-1.56383,-0.0029291,0.00443542,237.76,-16.5968
14.5,3,8.99465,1.03699,0.0751836,8.90685,0.0893374,0.0240885,0.000457642,0.0893407,0.0240852,0.00701249,-0.0112655,-0.00270656,-3.95554e-05,-0.00270636,-0.0112657,-1.56617,-0.00305214,0.00443084,237.865,-16.7154
15,3,8.82144,1.05317,0.0737714,8.73893,0.0893406,0.0236804,0.000509288,0.0893446,0.0236763,0.00775459,-0.0112824,-0.00271664,-2.14718e-05,-0.00271657,-0.0112825,-1.56829,-0.00316439,0.00427212,237.975,-16.837
