"X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Hencky","eyy [1] - Hencky","exy [1] - Hencky","e1 [1] - Hencky","e2 [1] - Hencky","gamma [1] - Hencky","cxx [1/mm] - 31 filter","cyy [1/mm] - 31 filter","cxy [1/mm] - 31 filter","c1 [1/mm] - 31 filter","c2 [1/mm] - 31 filter","gamma_c [1] - 31 filter","phi [rad] - 15 filter","sigma [pixel]","q_ref [pixel]","r_ref [pixel]"
-5,25,9.45681,-0.338365,0.610342,9.34873,0.0792659,0.0229875,-0.0020234,0.0793387,0.0229147,-0.0358936,-0.0114687,-0.0021679,-0.00015919,-0.00216508,-0.0114715,-1.55369,0.00941311,0.00609097,235.036,-11.2731
-4.5,25,9.50994,-0.303026,0.61309,9.40325,0.0792708,0.0231396,-0.00180135,0.0793287,0.0230816,-0.0320502,-0.0114179,-0.002139,-0.000152489,-0.00213645,-0.0114204,-1.55437,0.00853523,0.00613576,234.973,-11.4663
-4,25,9.55745,-0.267324,0.615202,9.45227,0.0792446,0.0232764,-0.0015766,0.0792892,0.0232318,-0.0281426,-0.0114015,-0.00212163,-0.000145652,-0.00211933,-0.0114038,-1.55511,0.00765611,0.00607795,234.915,-11.6597
-3.5,25,9.60056,-0.231045,0.618129,9.49544,0.0791915,0.0234009,-0.00134819,0.0792242,0.0233682,-0.0241496,-0.0114236,-0.00211646,-0.000137837,-0.00211441,-0.0114256,-1.55599,0.00677426,0.00616274,234.852,-11.8618
-3,25,9.64304,-0.194485,0.621523,9.53367,0.0791201,0.0235123,-0.00112492,0.0791431,0.0234893,-0.0202226,-0.0114814,-0.00212156,-0.000127717,-0.0021198,-0.0114832,-1.55715,0.0058871,0.00575085,234.768,-12.0731
-2.5,25,9.68265,-0.157449,0.62461,9.56571,0.0790589,0.0236085,-0.000907757,0.0790739,0.0235935,-0.0163578,-0.011564,-0.00213165,-0.000112928,-0.00213029,-0.0115653,-1.55883,0.00499041,0.00497099,234.669,-12.2825
-2,25,9.71098,-0.119922,0.626831,9.59104,0.0790461,0.0236912,-0.000676298,0.0790546,0.0236827,-0.0122081,-0.0116596,-0.00214302,-8.60473e-05,-0.00214223,-0.0116604,-1.56175,0.00406473,0.00456637,234.599,-12.4891
-1.5,25,9.73117,-0.0822649,0.628468,9.61067,0.0790748,0.0237668,-0.000428349,0.0790783,0.0237633,-0.00773702,-0.0117506,-0.00214861,-4.92066e-05,-0.00214832,-0.0117509,-1.56567,0.00312188,0.00470897,234.548,-12.6915
-1,25,9.74455,-0.0440119,0.629909,9.62421,0.0790942,0.0238387,-0.000179827,0.079095,0.0238379,-0.00324667,-0.0118182,-0.00214309,-2.64272e-06,-0.00214297,-0.0118184,-0.0365897,0.00217664,0.00492216,234.505,-12.8887
-0.5,25,9.75333,-0.00622497,0.630942,9.6334,0.0790684,0.0239009,5.18786e-05,0.0790687,0.0239006,0.000933925,-0.0118447,-0.00212194,3.94331e-05,-0.00212174,-0.0118449,1.56674,0.0012293,0.00554394,234.466,-13.0815
3.72529e-09,25,9.75636,0.0317253,0.631087,9.63428,0.0790171,0.0239572,0.000266024,0.0790186,0.0239557,0.00482583,-0.0118121,-0.00208617,9.65606e-05,-0.00208512,-0.0118131,1.56087,0.000284408,0.00649538,234.417,-13.2936
0.5,25,9.75611,0.0690736,0.630281,9.63202,0.0789788,0.0240015,0.000475163,0.0789831,0.0239972,0.00863654,-0.0117178,-0.00203912,0.000148798,-0.00203669,-0.0117203,1.55542,-0.000662939,0.00905656,234.371,-13.5126
1,25,9.75155,0.105843,0.6285,9.63189,0.0789583,0.0240327,0.000682711,0.078967,0.024024,0.012422,-0.0115743,-0.00198807,0.000186993,-0.00198428,-0.0115781,1.5513,-0.00159762,0.0107368,234.367,-13.7286
1.5,25,9.72918,0.144115,0.6264,9.61896,0.0789411,0.0240509,0.000880656,0.0789554,0.0240366,0.0160339,-0.0114118,-0.00194277,0.000204507,-0.00193825,-0.0114163,1.54922,-0.00250713,0.0109667,234.396,-13.9281
2,25,9.69142,0.184241,0.625158,9.58757,0.0789123,0.0240578,0.00106465,0.0789331,0.024037,0.0193952,-0.01127,-0.00191284,0.000199782,-0.00190853,-0.0112743,1.54947,-0.00339738,0.0113215,234.41,-14.1227
2.5,25,9.65757,0.223625,0.62529,9.55142,0.0788706,0.0240517,0.00123651,0.0788986,0.0240237,0.0225381,-0.0111852,-0.00190574,0.000176187,-0.00190236,-0.0111886,1.55182,-0.00428214,0.0113124,234.379,-14.32
3,25,9.63291,0.260342,0.625033,9.52057,0.078833,0.0240249,0.00140356,0.078869,0.0239889,0.0255834,-0.0111801,-0.00192495,0.00014235,-0.00192266,-0.0111824,1.55543,-0.00516748,0.00979996,234.328,-14.5201
3.5,25,9.61246,0.294743,0.623574,9.4953,0.0788112,0.0239763,0.00157291,0.0788564,0.0239312,0.0286501,-0.0112536,-0.00196874,0.000110768,-0.0019672,-0.0112551,1.55888,-0.00605491,0.006529,234.288,-14.7305
4,25,9.57644,0.329804,0.62129,9.45833,0.078813,0.0239098,0.00175087,0.0788689,0.0238539,0.0318436,-0.0113806,-0.00203019,9.34294e-05,-0.00202892,-0.0113819,1.56083,-0.00694587,0.00448225,234.275,-14.9437
4.5,25,9.52759,0.365295,0.618544,9.41114,0.0788374,0.0238274,0.00194023,0.0789058,0.0237589,0.0352086,-0.0115245,-0.00209991,9.75105e-05,-0.00209851,-0.0115259,1.56048,-0.00784334,0.00402664,234.281,-15.1563
5,25,9.47146,0.400549,0.615359,9.35777,0.0788611,0.0237292,0.0021265,0.0789431,0.0236472,0.0384915,-0.0116513,-0.00216863,0.00012438,-0.00216664,-0.0116533,1.55771,-0.00874308,0.00402145,234.297,-15.3621
5.5,25,9.40922,0.435507,0.611501,9.29928,0.0788691,0.0236152,0.00230431,0.0789651,0.0235192,0.0416048,-0.0117393,-0.0022291,0.000169736,-0.00222579,-0.0117426,1.55297,-0.00964656,0.00415146,234.322,-15.5634
6,25,9.34226,0.469688,0.607387,9.23449,0.0789005,0.0234874,0.00249356,0.0790126,0.0233753,0.0448755,-0.0117821,-0.00227736,0.000225526,-0.00227183,-0.0117877,1.5471,-0.0105669,0.0042897,234.342,-15.7661
6.5,25,9.27059,0.502815,0.603053,9.16422,0.0789988,0.0233491,0.00271437,0.079131,0.0232169,0.0486187,-0.011786,-0.00231249,0.000282739,-0.00230396,-0.0117945,1.54099,-0.0115029,0.00414635,234.361,-15.9699
7,25,9.19289,0.53452,0.598706,9.08793,0.0791495,0.0232041,0.00296338,0.0793061,0.0230475,0.0527694,-0.0117637,-0.00233601,0.000333682,-0.00232417,-0.0117755,1.53546,-0.0124459,0.00374281,234.384,-16.1789
7.5,25,9.10748,0.56553,0.594189,9.00444,0.0792942,0.0230501,0.00321247,0.0794771,0.0228672,0.0568685,-0.0117292,-0.00235075,0.000373501,-0.00233588,-0.0117441,1.53106,-0.0133838,0.00386204,234.414,-16.3929
8,25,9.015,0.596399,0.589143,8.91491,0.079387,0.0228829,0.00344492,0.0795963,0.0226737,0.0606667,-0.0116942,-0.00235985,0.000400427,-0.0023427,-0.0117113,1.528,-0.0143094,0.00401916,234.454,-16.604
8.5,25,8.91609,0.626534,0.583477,8.81995,0.0794517,0.0226965,0.00366794,0.0796878,0.0224604,0.0642693,-0.0116659,-0.00236636,0.000416232,-0.00234776,-0.0116845,1.52616,-0.0152284,0.00418602,234.503,-16.8116
9,25,8.81104,0.655194,0.577256,8.71941,0.0795221,0.0224898,0.00389048,0.0797863,0.0222256,0.0677946,-0.0116464,-0.00237236,0.000424213,-0.00235299,-0.0116657,1.52518,-0.0161448,0.00445424,234.56,-17.018
9.5,25,8.70204,0.682127,0.570356,8.61476,0.0796117,0.0222639,0.00411433,0.0799055,0.0219702,0.0712543,-0.0116339,-0.00237909,0.000428151,-0.00235932,-0.0116536,1.52467,-0.0170663,0.0042635,234.619,-17.2269
10,25,8.58694,0.708097,0.563307,8.50414,0.0797114,0.0220197,0.00433844,0.080036,0.0216952,0.0746378,-0.0116259,-0.00238705,0.000431381,-0.00236695,-0.011646,1.52424,-0.0179893,0.00398391,234.684,-17.4318
10.5,25,8.46419,0.732978,0.556328,8.3865,0.0798012,0.0217625,0.00456107,0.0801575,0.0214062,0.0779458,-0.0116204,-0.00239625,0.000436388,-0.00237564,-0.011641,1.52363,-0.0189116,0.00403877,234.756,-17.6382
11,25,8.33341,0.756728,0.54902,8.26023,0.0798688,0.021491,0.00478027,0.0802578,0.0211021,0.0811612,-0.0116168,-0.00240634,0.000444729,-0.00238491,-0.0116382,1.52266,-0.01984,0.00423365,234.828,-17.8501
11.5,25,8.1977,0.778917,0.541176,8.1275,0.0799193,0.0212055,0.00500166,0.0803424,0.0207824,0.0843737,-0.0116154,-0.00241698,0.000456898,-0.00239433,-0.011638,1.52129,-0.0207815,0.00427197,234.896,-18.0688
12,25,8.05745,0.799344,0.532949,7.98942,0.0799616,0.0209072,0.00523165,0.0804216,0.0204472,0.0876767,-0.0116173,-0.00242785,0.000472114,-0.00240365,-0.0116415,1.5196,-0.0217391,0.00411947,234.963,-18.2879
12.5,25,7.91021,0.817804,0.52443,7.84535,0.0800058,0.0205943,0.00547442,0.0805061,0.020094,0.0911181,-0.0116234,-0.00243884,0.000488374,-0.00241294,-0.0116493,1.51782,-0.0227101,0.00399782,235.04,-18.5037
13,25,7.75477,0.834345,0.515209,7.69557,0.0800634,0.0202706,0.00572927,0.0806076,0.0197263,0.0946604,-0.0116334,-0.00245095,0.000503174,-0.00242344,-0.0116609,1.51622,-0.0237011,0.00404216,235.136,-18.7209
13.5,25,7.59219,0.849296,0.50552,7.54062,0.080126,0.0199325,0.00599031,0.0807166,0.0193419,0.0982236,-0.0116469,-0.00246274,0.000514025,-0.00243405,-0.0116756,1.51506,-0.0247038,0.00416272,235.247,-18.9392
14,25,7.42287,0.862397,0.495499,7.37907,0.0801825,0.0195815,0.00625833,0.0808223,0.0189417,0.10183,-0.0116626,-0.0024758,0.000519633,-0.00244649,-0.0116919,1.51447,-0.0257192,0.00433805,235.364,-19.1583
14.5,25,7.24715,0.873796,0.484884,7.21017,0.0802313,0.0192157,0.00653373,0.0809233,0.0185238,0.105481,-0.0116791,-0.00249082,0.000520447,-0.00246142,-0.0117085,1.51439,-0.0267464,0.00467027,235.479,-19.3783
